num,cputime_dif,depth,high,image,tension,time,velocity,volume,weld_velocity,width,wire_l
706,0.11164474500401413,-2.29944511216507,2.1225647189216037,14010.0,24.5,11.215,6.5,0.0073505714535713204,13.4,5.194708521244709,15.0
707,0.1099870749967522,-2.29944511216507,2.1225647189216037,14012.0,24.5,11.217,6.5,0.01469413563609123,13.4,5.194708521244709,15.0
708,0.1102785750044859,-2.358388269952308,2.06358973620827,14019.0,24.5,11.224,6.5,1.679208517074585,13.4,5.2545114382158165,13.56
709,0.11030636299983597,-2.358388269952308,2.06358973620827,14020.0,24.5,11.225,6.5,0.26394519209861755,13.4,5.2545114382158165,13.8
710,0.11045025600469673,-2.3583712969027006,2.0635748847898627,14021.0,24.5,11.225999999999999,6.5,0.8065447807312012,13.4,5.314316486370908,14.52
711,0.1171794719994068,-2.3583712969027006,2.0635748847898627,14022.0,24.5,11.227,6.5,0.0073505714535713204,13.4,5.314316486370908,14.52
712,0.17102153199812165,-2.3583712969027006,2.0635748847898627,14024.0,24.5,11.229,6.5,0.5278973579406738,13.4,5.314316486370908,15.0
713,0.10938152999733576,-2.3583712969027006,2.0635748847898627,14026.0,24.5,11.231,6.5,1.6424697637557983,13.4,5.314316486370908,13.56
714,0.10984747899783542,-2.358354324097397,2.0635600335852224,14027.0,24.5,11.232,6.5,0.26394519209861755,13.4,5.314411180648087,13.8
715,0.11760856199543925,-2.358337351536393,2.063545182594344,14033.0,24.5,11.238,6.5,0.769805908203125,13.4,5.254792329105603,14.52
716,0.10898174600151833,-2.358337351536393,2.063545182594344,14035.0,24.5,11.24,6.5,0.28599095344543457,13.4,5.254792329105603,14.28
717,0.10991695099801292,-2.358337351536393,2.063545182594344,14036.0,24.5,11.241,6.5,0.2639462649822235,13.4,5.254792329105603,14.52
718,0.11091179899813143,-2.358303407228689,2.0635154813251027,14055.0,24.5,11.26,6.5,0.13960479199886322,13.4,5.254979607495845,14.52
719,0.10953362999862293,-2.321297011020569,2.063374413832478,14147.0,24.5,11.352,6.5,0.13338777422904968,13.4,5.203608394938561,15.0
720,0.11527880599896888,-2.2990645463049577,2.0632630543762445,14148.0,24.5,11.353,6.5,0.007343564182519913,13.4,5.1968382296145625,15.0
721,0.10978611699829344,-2.29900664549896,2.0632110921144515,14179.0,24.5,11.384,6.5,0.2277766168117523,13.4,5.217075683418693,15.0
722,0.10942324299685424,-2.298965288970757,2.063173977281449,14180.0,24.5,11.385,6.5,0.5499420762062073,13.4,5.257134254921731,14.52
723,0.11258426000131294,-2.2989404760060834,2.0631517092362284,14191.0,24.5,11.395999999999999,6.5,0.3521180748939514,13.4,5.257274837271804,14.28
724,0.17430098600016208,-2.2989322050972096,2.063144286625701,14192.0,24.5,11.397,6.5,0.2639462649822235,13.4,5.257321699169037,14.52
725,0.10968681299709716,-2.29891566351751,2.063129441618278,14198.0,24.5,11.402999999999999,6.5,0.31537923216819763,13.4,5.2574154263053,14.28
726,0.1106063519982854,-2.29891566351751,2.063129441618278,14199.0,24.5,11.404000000000002,6.5,0.2639462649822235,13.4,5.2574154263053,14.52
727,0.10992078799608862,-2.298890851624043,2.0631071745343976,14209.0,24.5,11.414000000000001,6.5,0.07347067445516586,13.4,5.287428767390363,14.52
728,0.11044143700564746,-2.298882581072233,2.0630997522443115,14210.0,24.5,11.415,6.5,2.855959177017212,13.4,5.317348377997178,12.0
729,0.1102726259996416,-2.298866040206645,2.0630849078777587,14214.0,24.5,11.419,6.5,2.819220304489136,13.4,5.317443180354953,14.52
730,0.1111655310014612,-2.2987337240716963,2.0393903959673834,14305.0,24.5,11.51,6.5,0.6686357259750366,13.4,5.529344451829782,14.52
731,0.1106279750019894,-2.298601418725449,1.9449704312292264,14306.0,24.5,11.511,6.5,0.007343564182519913,13.4,5.737305684081204,14.52
732,0.1104562309992616,-2.298560077270732,1.9449354499983118,14332.0,24.5,11.537,6.5,0.351553738117218,13.4,5.782386593944964,15.0
733,0.11080657400452763,-2.2985352728737722,1.9449144616624219,14333.0,24.5,11.538,6.5,0.0073505714535713204,13.4,5.797482853400289,15.0
734,0.11126042699470418,-2.2985352728737722,1.9449144616624219,14334.0,24.5,11.539000000000001,6.5,3.3985435962677,13.4,5.797482853400289,12.0
735,0.1103331620033714,-2.2985187370056757,1.9449004697740335,14335.0,24.5,11.54,6.5,3.383849620819092,13.4,5.797586254731376,15.0
736,0.11018049900303596,-2.298493933679369,1.9448794823440814,14346.0,24.5,11.550999999999998,6.5,1.1660053730010986,13.4,5.797741364105121,14.04
737,0.1105013720007264,-2.2984856659832382,1.9448724866012013,14347.0,24.5,11.552,6.5,0.5352420210838318,13.4,5.79779306845927,14.52
738,0.11038010600168492,-2.298469130828885,1.944858495316749,14353.0,24.5,11.558,6.5,0.5866749882698059,13.4,5.797896480856469,14.04
739,0.11585055599425688,-2.298469130828885,1.944858495316749,14354.0,24.5,11.559,6.5,0.26394519209861755,13.4,5.797896480856469,14.28
740,0.1107862720018602,-2.298436061313183,2.003764771401237,14371.0,24.5,11.575999999999999,6.5,0.6889776587486267,13.4,5.758253455209698,15.0
741,0.10957147299632196,-2.1911743368667547,2.003663874239947,14438.0,24.5,11.642999999999999,6.5,1.034876585006714,13.4,5.6357818474925745,14.52
742,0.1132798129983712,-2.0428486753277357,2.0035629853040615,14452.0,24.5,11.657,6.5,0.6454585194587708,13.4,5.460745807820959,14.04
743,0.11049094000190962,-2.0035485734974308,2.0035485734974308,14453.0,24.5,11.658,6.5,0.26394519209861755,13.4,5.440913506333882,14.28
744,0.1089988700041431,-1.885665930303255,2.0035197507134748,14470.0,24.5,11.675,6.5,0.14638616144657135,13.4,5.441107667110418,14.52
745,0.11024277599790366,-1.8267057476874586,2.003483723270116,14481.0,24.5,11.686,6.5,0.4617702662944794,13.4,5.441350385403457,15.0
746,0.1110879100015154,-1.826699178103212,2.003476517919652,14485.0,24.5,11.69,6.5,1.1145724058151243,13.4,5.441398931371869,14.04
747,0.1108273610007018,-1.8266860391237318,2.0034621074260293,14486.0,24.5,11.690999999999999,6.5,0.0073505714535713204,13.4,5.4414960267736765,14.04
748,0.11057007699855603,-1.8266860391237318,2.0034621074260293,14487.0,24.5,11.692,6.5,0.26394519209861755,13.4,5.4414960267736765,14.28
749,0.10944570999708958,-1.8266729003332616,2.003447697139706,14496.0,24.5,11.700999999999999,6.5,0.7477612495422363,13.4,5.4415931256406544,15.0
750,0.10888594700372778,-1.8266466233823306,2.0034188772580404,14514.0,24.5,11.719000000000001,6.5,0.6748457551002502,13.4,5.4417873349261034,14.52
751,0.11014124599751084,-1.8266203470613904,2.0033900580673314,14515.0,24.5,11.72,6.5,0.5352409482002258,13.4,5.441981555763973,15.0
752,0.11035277300106827,-1.8266072092159051,2.0033756488174443,14525.0,24.5,11.73,6.5,2.515134572982788,13.4,5.442078671959583,12.84
753,0.11048808499617736,-1.826594071559404,2.0033612397748306,14526.0,24.5,11.731,6.5,1.349129319190979,13.4,5.442175791621473,14.04
754,0.10924017200159143,-1.8265743654526125,2.003339626625446,14538.0,24.5,11.743,6.5,0.3594675660133362,13.4,5.442321478047341,13.8
755,0.1122124090034049,-1.8265677968133407,2.003332422311406,14541.0,24.5,11.745999999999999,6.5,0.022044707089662552,13.4,5.442370041344848,13.8
756,0.1163666140055284,-1.8265677968133407,2.003332422311406,14542.0,24.5,11.747,6.5,0.26395219564437866,13.4,5.442370041344848,14.04
757,0.11319093499332665,-1.7381668379610484,2.0033108097838053,14550.0,24.5,11.755,6.5,0.21251221001148224,13.4,5.442515738171142,14.28
758,0.11209122600121192,-1.7086817005695343,2.0032819937711785,14566.0,24.5,11.770999999999999,6.5,0.3888558447360992,13.4,5.442710012163415,14.04
759,0.10929553599999052,-1.708663267238672,2.0032603822798225,14568.0,24.5,11.773,6.5,1.0704900026321411,13.4,5.442855726326226,15.0
760,0.10916567599633707,-1.688999306242332,2.0032315677869614,14586.0,24.5,11.790999999999999,6.5,0.1322612315416336,13.4,5.443050025747901,15.0
761,0.11095227100304328,-1.6497082500275688,2.003217160747762,14587.0,24.5,11.792,6.5,0.007343564182519913,13.4,5.443147178926784,15.0
762,0.11021910000272328,-1.6497082500275688,2.003217160747762,14588.0,24.5,11.793,6.5,3.398550748825073,13.4,5.443147178926784,12.0
763,0.11940935500024352,-1.6497082500275688,2.003217160747762,14589.0,24.5,11.794,6.5,0.007343564182519913,13.4,5.443147178926784,12.0
764,0.11296418900019488,-1.5907786575762153,2.0032027539848642,14594.0,24.5,11.799000000000001,6.5,2.902301788330078,13.4,5.443244336730039,14.6
765,0.11084117500286084,-1.5907786575762153,2.0032027539848642,14595.0,24.5,11.8,6.5,0.09778248518705368,13.4,5.443244336730039,14.52
766,0.1096308330015745,-1.5907672170761176,2.0031883474291847,14596.0,24.5,11.800999999999998,6.5,2.371494770050049,13.4,5.4433414980018044,12.428571428571427
767,0.10956263900152408,-1.5907672170761176,2.0031883474291847,14597.0,24.5,11.802,6.5,1.9950718879699707,13.4,5.4433414980018044,14.2
768,0.11055697499978123,-1.4728759175865573,1.9147376929607094,14657.0,24.5,11.862,6.5,0.35042718052864075,13.4,5.467806367959004,14.28
769,0.1094365140015725,-1.3549859352946234,1.7673729590799432,14666.0,24.5,11.870999999999999,6.5,0.20516972243785855,13.4,5.564117544231694,14.52
770,0.1261887620057678,-1.3549420892944244,1.7673157686449017,14707.0,24.5,11.912,6.5,0.24134421348571775,13.4,5.684233280020826,15.0
771,0.11096644300414482,-1.3549128597486584,1.767277643150424,14708.0,24.5,11.913,6.5,0.0073505714535713204,13.4,5.684537154239595,15.0
772,0.11029469600180164,-1.3549128597486584,1.767277643150424,14709.0,24.5,11.914000000000001,6.5,3.3985435962677,13.4,5.684537154239595,12.0
773,0.10931493200041588,-1.3549031169403936,1.767264935139644,14713.0,24.5,11.918,6.5,2.2314047813415527,13.4,5.744476960468232,14.0
774,0.11380022399680455,-1.3548933742722438,1.7672522273116222,14721.0,24.5,11.925999999999998,6.5,0.8003277778625488,13.4,5.744579537157549,14.76
775,0.10981473100400764,-1.3548836317442057,1.767239519666355,14726.0,24.5,11.931,6.5,0.2345569133758545,13.4,5.744682117510273,15.0
776,0.1103555529989535,-1.3548836317442057,1.767239519666355,14727.0,24.5,11.932,6.5,0.0073505714535713204,13.4,5.744682117510273,15.0
777,0.11083848700218367,-1.3548836317442057,1.767239519666355,14728.0,24.5,11.933,6.5,0.007343564182519913,13.4,5.744682117510273,15.0
778,0.11057498599984683,-1.3548836317442057,1.767239519666355,14729.0,24.5,11.934,6.5,0.8212389349937439,13.4,5.744682117510273,14.28
779,0.11053414600610267,-1.3548738893562762,1.7672268122038384,14730.0,24.5,11.935,6.5,0.09778248518705368,13.4,5.804626208834161,14.2
780,0.1107477839977946,-1.3548738893562762,1.7672268122038384,14731.0,24.5,11.936,6.5,0.4448170959949493,13.4,5.804626208834161,14.6
781,0.11036607700225433,-1.3548738893562762,1.7672268122038384,14732.0,24.5,11.937000000000001,6.5,0.173513263463974,13.4,5.804626208834161,14.76
782,0.1099992830058909,-1.3548738893562762,1.7672268122038384,14734.0,24.5,11.939,6.5,0.25660160183906555,13.4,5.804626208834161,15.0
783,0.11013130299397744,-1.3548641471084522,1.7672141049240682,14740.0,24.5,11.945,6.5,1.6718579530715942,13.4,5.804729865135946,13.56
784,0.11463031099992806,-1.354854405000731,1.7672013978270404,14741.0,24.5,11.946,6.5,0.8065366744995117,13.4,5.8048335251398875,14.28
785,0.1090855080037727,-1.3548446630331097,1.7671886909127514,14747.0,24.5,11.952,6.5,0.3153781592845917,13.4,5.804937188846184,14.04
786,0.1100293950003106,-1.3548446630331097,1.7671886909127514,14748.0,24.5,11.953,6.5,0.5499420762062073,13.4,5.804937188846184,13.56
787,0.10951361300249117,-1.3548349212055846,1.7671759841811971,14755.0,24.5,11.96,6.5,2.493098020553589,13.4,5.805040856255037,11.4
